srx_accession,entrez_id,file_path,obs_count,lib_prep,tech_10x,cell_prep,organism,tissue,tissue_ontology_term_id,disease,disease_ontology_term_id,perturbation,cell_line,antibody_derived_tag,czi_collection_id,czi_collection_name,is_lung,study_accession
SRX14767855,21142995,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767855.h5ad,5221,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,cystic fibrosis,MONDO:0009061,untreated,unsure,no,,,True,PRJNA667491
SRX14767854,21142994,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767854.h5ad,6036,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Human airway epithelial cells,UBERON:0008397,Cystic fibrosis context,MONDO:0009061,Untreated,Not applicable,no,,,True,PRJNA667491
SRX14767853,21142993,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767853.h5ad,9187,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,Cystic Fibrosis,MONDO:0009061,untreated,none,no,,,True,PRJNA667491
SRX14767848,21142988,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767848.h5ad,9097,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-cystic fibrosis,MONDO:0009061,untreated,unsure,no,,,True,PRJNA667491
SRX14767849,21142989,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767849.h5ad,4694,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-CF,,untreated,unsure,no,,,True,PRJNA667491
SRX14767852,21142992,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767852.h5ad,6492,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,Cystic Fibrosis,MONDO:0009061,untreated,Primary basal cells from human airway cultures,no,,,True,PRJNA667491
SRX14767851,21142991,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14767851.h5ad,4962,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Human airway epithelial cells,UBERON:0004802,Cystic Fibrosis,MONDO:0009061,untreated,other,no,,,True,PRJNA667491
SRX11071622,14734100,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11071622.h5ad,5310,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"peripheral blood mononuclear cells (PBMC), bronchoalveolar lavage (BAL)",UBERON:0000178,COVID-19,MONDO:0100096,unsure,none,no,,,True,PRJNA735258
SRX11515875,15427817,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515875.h5ad,3834,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirates",UBERON:0006833,"COVID-19, ARDS, healthy control",MONDO:0100096,cell hashing antibodies for multiplexing,none,no,,,True,PRJNA748731
SRX11987915,15906700,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11987915.h5ad,2949,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Stromal cells from non-small cell lung cancer (NSCLC) tumor,UBERON:0003891,Non-small cell lung cancer (NSCLC),MONDO:0005233,none specified,not applicable,no,,,True,PRJNA759630
SRX11143424,14829037,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11143424.h5ad,9647,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,"lung (PC9), skin (COLO829)","UBERON:0002048,UBERON:0002097","lung adenocarcinoma (PC9), melanoma (COLO829)",MONDO:0005061,untreated control,"PC9, COLO829",no,,,True,PRJNA634136
SRX11438991,15302940,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11438991.h5ad,4001,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung xenograft,UBERON:0002048,SARS-CoV-2 infection,MONDO:0100096,"SARS-CoV-2 challenge, naïve vs infected, co-engrafted with human immune system",none,no,,,True,PRJNA746455
SRX11515823,15427765,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515823.h5ad,47122,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate",UBERON:0000178,"COVID-19, ARDS",MONDO:0100096,"longitudinal sampling (day 1, 5, 10 post-ICU enrollment)",none,maybe,,,True,PRJNA748731
SRX11515811,15427753,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515811.h5ad,3186,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate",UBERON:0035963,"COVID-19, ARDS",MONDO:0100096,"ICU care, time course sampling, TotalSeq-C antibody hashing",none,maybe,,,True,PRJNA748731
SRX15390221,21929983,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15390221.h5ad,10929,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,Viral infection,,Perturb-seq,K562,no,,,True,PRJNA831566
SRX10984888,14606282,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10984888.h5ad,827,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung fibroblast,UBERON:0002048,replicative senescence (cellular aging),MONDO:0019303,serial passaging (no drug or genetic perturbation),WI-38,no,,,True,PRJNA732700
SRX11143425,14829038,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11143425.h5ad,5176,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,"skin, large intestine, lung (cell lines: A375, COLO829, MMACSF, HT29, PC9)","UBERON:0002097,UBERON:0000059,UBERON:0002048",cancer (cell lines derived from tumors),MONDO:0004992,untreated control (osimertinib treatment in other samples),"A375, COLO829, MMACSF, HT29, PC9",no,,,True,PRJNA634136
SRX11438990,15302939,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11438990.h5ad,5342,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung xenograft,UBERON:0002048,SARS-CoV-2 infection,MONDO:0100096,AAV-hFlt3L,none,no,,,True,PRJNA746455
SRX12457902,16898120,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX12457902.h5ad,10412,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,"primary human bronchial epithelial cells (lung, ALI culture)",UBERON:0002031,none specified,,"cytokine stimulation: IFN-α, IL-17, IL-13",none (primary cells),no,,,True,PRJNA768255
SRX15390539,21930301,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15390539.h5ad,24307,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung carcinoma,MONDO:0005233,erlotinib,NCI-H1975,no,,,True,PRJNA831566
SRX11071613,14734091,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11071613.h5ad,7902,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,PBMC and bronchoalveolar lavage (BAL) CD3+ T cells,"UBERON:0000178,UBERON:0002048",COVID-19 (convalescent),MONDO:0100096,none reported,not_applicable,no,,,True,PRJNA735258
SRX11515818,15427760,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515818.h5ad,580,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate cells",UBERON:0001155,COVID-19,MONDO:0100096,Samples collected at day 1 and day 5 post-infection,none,maybe,,,True,PRJNA748731
SRX11515804,15427746,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515804.h5ad,51680,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirates",UBERON:0006833,"COVID-19, ARDS",MONDO:0100096,"ICU care, TotalSeq-C antibody hashing",none,no,,,True,PRJNA748731
SRX11143427,14829040,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11143427.h5ad,10188,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,PC9 lung cancer cell line (cultured cells),,lung cancer (adenocarcinoma),MONDO:0005061,"osimertinib treatment (14 days, 300 nM); mCherry sorting (non-cycling)",PC9,no,,,True,PRJNA634136
SRX11071615,14734093,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11071615.h5ad,7114,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMC), bronchoalveolar lavage (BAL) T cells",UBERON:0035963,Post-acute COVID-19 lung sequelae (convalescent donor),MONDO:0100320,none reported,not applicable,no,,,True,PRJNA735258
SRX10984884,14606278,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10984884.h5ad,1274,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung fibroblast,UBERON:0004883,replicative senescence,MONDO:0019303,serial passaging to PDL 25,WI-38,no,,,True,PRJNA732700
SRX10335835,13463411,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10335835.h5ad,6530,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung cancer,MONDO:0008903,none reported,none,no,,,True,PRJNA714138
SRX11515880,15427822,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515880.h5ad,12660,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate","UBERON:0000178,UBERON:0016553","COVID-19, ARDS",MONDO:0100096,none,none,no,,,True,PRJNA748731
SRX11515822,15427764,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515822.h5ad,35761,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMC), endotracheal aspirate (lung)",UBERON:0002048,COVID-19 (critically ill patients),MONDO:0100096,"TotalSeq-C antibody hashing, pooled by time point",not_applicable,no,,,True,PRJNA748731
SRX11143429,14829042,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11143429.h5ad,11744,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,"lung (PC9 cell line, lung adenocarcinoma)",UBERON:0002048,lung cancer,MONDO:0008903,"osimertinib treatment (300 nM, time course)",PC9,no,,,True,PRJNA634136
SRX11987910,15906695,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11987910.h5ad,1356,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung (adjacent normal tissue),UBERON:0002048,none (adjacent normal tissue from NSCLC patient),,none reported,none; primary stromal cells,no,,,True,PRJNA759630
SRX11515843,15427785,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11515843.h5ad,14585,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"Peripheral blood mononuclear cells (PBMCs), endotracheal aspirate (airway) cells","UBERON:0000178,UBERON:0001901","COVID-19, ARDS, critically ill",MONDO:0100096,"Samples collected at ICU days 1, 5, and 10",none,no,,,True,PRJNA748731
SRX10152685,13280261,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10152685.h5ad,5680,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung (peripheral lung parenchyma),UBERON:0008946,chronic obstructive pulmonary disease (COPD),MONDO:0005002,none reported,none,no,,,True,PRJNA704098
SRX10697704,14221823,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10697704.h5ad,4222,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,breast carcinoma cells from metastatic pleural effusion,UBERON:0000175,breast carcinoma (metastatic),MONDO:0004989,doxycycline induction (ZEB1 expression),MCF7-V,no,,,True,PRJNA725827
SRX10327366,13454942,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10327366.h5ad,3462,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung (primary basal cells),UBERON:0000115,not specified,,measles virus infection,primary basal cells,no,,,True,PRJNA713903
SRX10697703,14221822,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10697703.h5ad,5298,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,MCF7-V breast carcinoma cell line (pleural effusion metastasis),UBERON:0001087,breast carcinoma (ER+); MCF7-V cell line,MONDO:0004989,Doxycycline-induced ZEB1 expression; FACS sorting EpCAM_high/low,MCF7-V,no,,,True,PRJNA725827
SRX15805189,22459350,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15805189.h5ad,1879,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung lymph node,UBERON:0007644,unsure,,unsure,unsure,no,,,True,PRJNA851108
SRX15805169,22459330,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15805169.h5ad,4050,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,unsure,,unsure,unsure,no,,,True,PRJNA851108
SRX15805181,22459342,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15805181.h5ad,2605,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung tissue (T cells from lung),UBERON:0002048,unsure,,unsure,unsure,no,,,True,PRJNA851108
SRX15805177,22459338,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15805177.h5ad,3034,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung lymph node,UBERON:0039167,unsure,,unsure,not_applicable,no,,,True,PRJNA851108
SRX16217038,22921660,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217038.h5ad,14050,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Lung Tumour,,unsure,,PD1-TIM3,unsure,no,,,True,PRJNA858410
SRX16217045,22921667,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217045.h5ad,5115,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumour,,cancer-related,MONDO:0045054,"PD1 treatment, 96-hour timepoint",not_applicable,maybe,,,True,PRJNA858410
SRX16217035,22921657,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217035.h5ad,19093,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor tissue and tumor-infiltrating lymphocytes,UBERON:0002048,cancer,MONDO:0004992,"bispecific antibodies targeting PD1-TIM3, PD1-LAG3, anti-PD1, or control isotype",none,maybe,,,True,PRJNA858410
SRX16217037,22921659,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217037.h5ad,13215,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Lung Tumour tissue,UBERON:0002048,Tumour,MONDO:0005070,PD1 treatment for 96h,unsure,no,,,True,PRJNA858410
SRX16217040,22921662,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217040.h5ad,14615,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,tumor infiltrating lymphocytes (TILs) from lung tumor,UBERON:0002048,cancer,MONDO:0004992,"treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype",primary CD45+ cells,maybe,,,True,PRJNA858410
SRX16217048,22921670,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217048.h5ad,5109,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor,UBERON:0002048,cancer,MONDO:0004992,"PD1-TIM3, PD1-LAG3, anti-PD1, control isotype",not_applicable,no,,,True,PRJNA858410
SRX16217033,22921655,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217033.h5ad,19788,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor,UBERON:0002048,cancer,MONDO:0004992,PD1 treatment for 48h,unsure,no,,,True,PRJNA858410
SRX16217047,22921669,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217047.h5ad,5571,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Lung Tumour,,Lung Tumour,MONDO:0021117,PD1-LAG3,CD45+ cells,no,,,True,PRJNA858410
SRX16217034,22921656,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217034.h5ad,16093,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Lung Tumour,UBERON:0002048,unsure,,"Immune checkpoint inhibitor treatment (e.g., PD1-TIM3)",Not applicable,no,,,True,PRJNA858410
SRX18096298,25063305,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18096298.h5ad,5124,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,bronchoalveolar lavage (BAL),UBERON:0006524,unsure,,incubated with Cryptococcus neoformans,none,no,,,True,PRJNA896321
SRX10606548,14083552,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10606548.h5ad,2906,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,pleural and peritoneal mesothelioma tumor tissue,"UBERON:0003390,UBERON:0005669",malignant mesothelioma,MONDO:0005065,none reported,none,no,,,True,PRJNA722248
SRX18096301,25063308,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18096301.h5ad,9527,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,bronchoalveolar lavage (BAL) cells,UBERON:0004892,unsure,,incubated with Cryptococcus neoformans,not_applicable,no,,,True,PRJNA896321
SRX18096300,25063307,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18096300.h5ad,3131,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,bronchoalveolar lavage (BAL) cells,UBERON:0008870,none,,incubation with Cryptococcus neoformans,none,no,,,True,PRJNA896321
SRX18096299,25063306,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18096299.h5ad,5218,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,Bronchoalveolar lavage cells,UBERON:0008870,unsure,,2h incubation with Cryptococcus neoformans,not_applicable,no,,,True,PRJNA896321
SRX18096297,25063304,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18096297.h5ad,6312,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,bronchoalveolar lavage (BAL) cells,UBERON:0004892,unsure,,incubation with Cryptococcus neoformans,not_applicable,no,,,True,PRJNA896321
SRX22613096,30615614,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22613096.h5ad,1934,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma,UBERON:0002044,non-small cell lung cancer (NSCLC),MONDO:0005233,Osimertinib (1 µM) + Tipifarnib (1 µM),HCC4006,no,,,True,PRJNA1044045
ERX11662356,34275521,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662356.h5ad,34777,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,,lung squamous cell carcinoma,MONDO:0005097,tissues kept in cold complete RPMI medium until dissection,CD235a- (depleted of erythrocytes),no,,,True,PRJEB68315
ERX11662358,34280627,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662358.h5ad,33699,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,unsure,unsure,no,,,True,PRJEB68315
ERX11662363,34278720,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662363.h5ad,25356,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,,lung squamous cell carcinoma,MONDO:0005097,unsure,unsure,no,,,True,PRJEB68315
ERX11662365,34274430,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662365.h5ad,38751,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,dopamine receptor antagonist treatment,not specified; study involves primary human tissues from patients,no,,,True,PRJEB68315
ERX11662362,34274496,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662362.h5ad,35110,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,personalized antiplatelet therapy,other,no,,,True,PRJEB68315
ERX11662383,34281103,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662383.h5ad,43718,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung cancer,MONDO:0005233,Tissues kept in cold complete RPMI medium until dissection. Single-cell suspensions generated usi...,"Patient 23, age 67, female. Sample name: E-MTAB-13526_2:P23_T2.",no,,,True,PRJEB68315
ERX8831395,34095715,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX8831395.h5ad,12146,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,squamous cell lung carcinoma,MONDO:0005097,CRISPR-Cas9 mediated mutation of CALB1 gene,HARA,no,,,True,PRJEB51720
SRX22917447,30982334,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22917447.h5ad,9580,10x_Genomics,not_applicable,single_cell,Homo sapiens,lung,UBERON:0002048,osteoporosis,MONDO:0005298,unsure,unsure,no,,,True,PRJNA1053822
ERX11876756,36179461,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876756.h5ad,7121,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor central margin,,non-small cell lung adenocarcinoma,MONDO:0005233,samples collected after surgical resection,"fibroblast, endothelial cell",no,,,True,PRJEB71931
SRX24312775,32625509,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312775.h5ad,9742,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung,UBERON:0002048,unsure,,unsure,unsure,no,,,True,PRJNA1102355
SRX25289894,33632199,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25289894.h5ad,4375,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,alveolar epithelial cells,UBERON:0004821,prostate cancer,MONDO:0008315,uninfected (mock treatment),A549,no,,,True,PRJNA1134791
ERX11876771,36178863,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876771.h5ad,5963,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung tumor central margin,UBERON:0002048,non-small cell squamous lung carcinoma,MONDO:0056806,samples collected after surgical resection of lung lobe or wedges from patients,"fibroblast, endothelial cell",no,,,True,PRJEB71931
SRX25363538,33729885,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25363538.h5ad,3203,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,Trisomy 21 (Down Syndrome),MONDO:0700126,unsure,unsure,no,,,True,PRJNA1136930
SRX25261770,33603844,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25261770.h5ad,640,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,bronchoalveolar lavage,UBERON:0002048,fibrotic hypersensitivity pneumonitis,MONDO:0975896,unsure,unsure,no,,,True,PRJNA1133168
SRX25038170,33375422,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038170.h5ad,6293,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,Chronic Obstructive Pulmonary Disease (COPD),MONDO:0005002,not specified,not specified,no,,,True,PRJNA1127657
SRX23902411,32207435,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23902411.h5ad,10476,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,bronchoalveolar lavage fluid,UBERON:0035963,"COPD, pulmonary silicosis, healthy lung",MONDO:0005002,OM-85 (150ug/ml) + Anti-TLR2/4 Abs,BAL cells,no,,,True,PRJNA1086544
SRX24312781,32625515,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312781.h5ad,7173,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung,UBERON:0002048,unsure,,unsure,unsure,no,,,True,PRJNA1102355
SRX24312773,32625507,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312773.h5ad,6367,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung,UBERON:0002048,unsure,,unsure,unsure,no,,,True,PRJNA1102355
SRX24312772,32625506,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312772.h5ad,7382,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,fetal lung,UBERON:0002048,unsure,,unsure,unsure,no,,,True,PRJNA1102355
SRX20407498,27829852,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20407498.h5ad,12013,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung adenocarcinoma cell,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,unsure,no,,,True,PRJNA973717
